order_id,order_date,customer_id,product,category,units,unit_price,channel
ORD-51038,2025-01-04,C1137,Headlamp,hardware,4,40.5,Web
ORD-51049,2025-01-04,C1138,Expedition Pack 65L,packs,13,334.4,WEB 
ORD-51251,2025-01-04,C1167,Down Jacket,outerwear,15,328.76,partner
ORD-51303,2025-01-04,C1175,Expedition Pack 65L,packs,7,328.9,retail
ORD-51315,2025-01-04,C1176,Base Layer,apparel,6,70.58,Retail
ORD-51384,2025-01-04,C1187,Rain Shell,outerwear,8,223.39,partner
ORD-51506,2025-01-04,C1205,Base Layer,apparel,2,71.41,Retail
ORD-51601,2025-01-04,C1221,Trail Runner,footwear,4,123.66,web
ORD-51671,2025-01-04,C1230,Headlamp,hardware,,41.86,retail
ORD-52508,2025-01-04,C1342,Expedition Pack 65L,packs,1,343.54,retail
ORD-50349,2025-01-05,C1056,Trekking Poles,hardware,4,99.23,web
ORD-50717,2025-01-05,C1099,Trekking Poles,hardware,,93.24,partner
ORD-50727,2025-01-05,C1100,Trail Runner,footwear,2,130.07,web
ORD-50946,2025-01-05,C1128,Hiking Sock,apparel,5,19.13,partner
ORD-51398,2025-01-05,C1190,Rain Shell,outerwear,5,227.28,retail
ORD-51520,2025-01-05,C1207,Hiking Sock,apparel,2,18.81,Web
ORD-51693,2025-01-05,C1232,Approach Shoe,footwear,1,157.27, retail
ORD-51790,2025-01-05,C1249,Hiking Sock,apparel,5,19.2,Web
ORD-52020,2025-01-05,C1274,Headlamp,hardware,14,40.87,web
ORD-52132,2025-01-05,C1289,Rain Shell,outerwear,11,220.04,partner
ORD-52428,2025-01-05,C1326,Down Jacket,outerwear,2,320.11,web
ORD-50055,2025-01-06,C1012,Daypack 22L,packs,2,109.85, retail
ORD-50645,2025-01-06,C1090,Rain Shell,outerwear,4,210.74,web
ORD-50785,2025-01-06,C1107,Expedition Pack 65L,packs,1,345.89,WEB 
ORD-50952,2025-01-06,C1128,Trail Runner,footwear,7,128.56,Web
ORD-51034,2025-01-06,C1137,Headlamp,hardware,7,40.4,web
ORD-51511,2025-01-06,C1206,Headlamp,hardware,2,41.94,web
ORD-51592,2025-01-06,C1221,Headlamp,hardware,5,41.25,Retail
ORD-51639,2025-01-06,C1225,Daypack 22L,packs,5,107.8,Web
ORD-52076,2025-01-06,C1284,Base Layer,apparel,10,68.45,Web
ORD-52271,2025-01-06,C1303,Trekking Poles,hardware,11,97.1,retail
ORD-52564,2025-01-06,C1348,Trekking Poles,hardware,2,97.35,partner
ORD-52777,2025-01-06,C1379,Expedition Pack 65L,packs,4,328.82,web
ORD-52798,2025-01-06,C1380,Trekking Poles,hardware,,98.3,web
ORD-50305,2025-01-07,C1049,Base Layer,apparel,3,69.82, retail
ORD-50339,2025-01-07,C1054,Expedition Pack 65L,packs,4,343.59,web
ORD-50808,2025-01-07,C1110,Daypack 22L,packs,3,107.95,partner
ORD-50821,2025-01-07,C1112,Trail Runner,footwear,1,128.94,web
ORD-50957,2025-01-07,C1128,Headlamp,hardware,5,41.54,partner
ORD-51127,2025-01-07,C1151,Daypack 22L,packs,6,111.18,partner
ORD-51300,2025-01-07,C1175,Trekking Poles,hardware,10,93.13,partner
ORD-51635,2025-01-07,C1225,Rain Shell,outerwear,4,220.95,WEB 
ORD-52634,2025-01-07,C1357,Base Layer,apparel,3,71.43,Retail
ORD-52761,2025-01-07,C1377,Headlamp,hardware,1,43.4,web
ORD-52889,2025-01-07,C1397,Approach Shoe,footwear,5,159.27,web
ORD-50201,2025-01-08,C1037,Base Layer,apparel,4,70.25,partner
ORD-50309,2025-01-08,C1049,Approach Shoe,footwear,4,152.21,Retail
ORD-50459,2025-01-08,C1065,Trail Runner,footwear,8,131.42,web
ORD-50532,2025-01-08,C1076,Trail Runner,footwear,9,133.01,partner
ORD-51039,2025-01-08,C1137,Trail Runner,footwear,6,123.13,retail
ORD-51632,2025-01-08,C1224,Down Jacket,outerwear,5,324.93,partner
ORD-51784,2025-01-08,C1249,Headlamp,hardware,3,42.05,web
ORD-52136,2025-01-08,C1289,Base Layer,apparel,11,71.41,retail
ORD-52223,2025-01-08,C1301,Daypack 22L,packs,12,114.54,web
ORD-52513,2025-01-08,C1343,Expedition Pack 65L,packs,6,348.7,web
ORD-52749,2025-01-08,C1376,Expedition Pack 65L,packs,11,334.44,Web
ORD-52822,2025-01-08,C1386,Down Jacket,outerwear,1,310.9,partner
ORD-50028,2025-01-09,C1006,Trekking Poles,hardware,1,95.0,Web
ORD-50165,2025-01-09,C1029,Headlamp,hardware,1,40.65,partner
ORD-51256,2025-01-09,C1167,Daypack 22L,packs,9,110.12,partner
ORD-52303,2025-01-09,C1307,Approach Shoe,footwear,3,152.88,Retail
ORD-50218,2025-01-10,C1039,Rain Shell,outerwear,11,218.93,retail
ORD-50341,2025-01-10,C1054,Hiking Sock,apparel,4,19.19,web
ORD-50501,2025-01-10,C1073,Rain Shell,outerwear,4,224.32,Web
ORD-50596,2025-01-10,C1084,Headlamp,hardware,6,41.4,Partner
ORD-50704,2025-01-10,C1097,Rain Shell,outerwear,14,223.34,Retail
ORD-51052,2025-01-10,C1138,Approach Shoe,footwear,9,152.65,retail
ORD-51170,2025-01-10,C1156,Hiking Sock,apparel,12,18.11,retail
ORD-51284,2025-01-10,C1172,Trekking Poles,hardware,2,96.91,retail
ORD-51666,2025-01-10,C1230,Rain Shell,outerwear,12,226.6,Retail
ORD-51763,2025-01-10,C1246,Hiking Sock,apparel,1,19.1,Retail
ORD-51786,2025-01-10,C1249,Approach Shoe,footwear,2,148.85,WEB 
ORD-52240,2025-01-10,C1301,Headlamp,hardware,10,40.63,web
ORD-52280,2025-01-10,C1305,Daypack 22L,packs,5,109.92,partner
ORD-52598,2025-01-10,C1353,Rain Shell,outerwear,10,216.69,Retail
ORD-50255,2025-01-11,C1040,Hiking Sock,apparel,11,18.82,web
ORD-50523,2025-01-11,C1076,Approach Shoe,footwear,7,158.96,retail
ORD-50587,2025-01-11,C1084,Trekking Poles,hardware,6,92.43,web
ORD-50764,2025-01-11,C1103,Down Jacket,outerwear,3,323.24,Retail
ORD-50959,2025-01-11,C1128,Hiking Sock,apparel,5,18.35,web
ORD-51046,2025-01-11,C1138,Rain Shell,outerwear,,222.65,Retail
ORD-51182,2025-01-11,C1156,Daypack 22L,packs,5,113.46,retail
ORD-51651,2025-01-11,C1229,Headlamp,hardware,2,42.69,web
ORD-51761,2025-01-11,C1245,Hiking Sock,apparel,1,18.87,Partner
ORD-51861,2025-01-11,C1258,Down Jacket,outerwear,3,314.67,partner
ORD-51923,2025-01-11,C1265,Approach Shoe,footwear,9,149.77,Web
ORD-52033,2025-01-11,C1274,Hiking Sock,apparel,8,19.13,Retail
ORD-52037,2025-01-11,C1276,Daypack 22L,packs,1,108.8,retail
ORD-52085,2025-01-11,C1284,Headlamp,hardware,6,42.24,retail
ORD-52178,2025-01-11,C1296,Rain Shell,outerwear,7,211.63,Retail
ORD-52186,2025-01-11,C1296,Base Layer,apparel,12,68.76,web
ORD-50249,2025-01-12,C1040,Headlamp,hardware,9,43.1,retail
ORD-50375,2025-01-12,C1057,Rain Shell,outerwear,8,225.73,web
ORD-50434,2025-01-12,C1064,Headlamp,hardware,7,43.49,partner
ORD-50509,2025-01-12,C1074,Approach Shoe,footwear,1,153.56,retail
ORD-50810,2025-01-12,C1110,Approach Shoe,footwear,3,151.11,retail
ORD-51021,2025-01-12,C1137,Down Jacket,outerwear,11,309.82,partner
ORD-51415,2025-01-12,C1195,Daypack 22L,packs,1,108.08,web
ORD-51422,2025-01-12,C1196,Rain Shell,outerwear,6,213.27,web
ORD-51451,2025-01-12,C1199,Trail Runner,footwear,5,131.99,WEB 
ORD-51471,2025-01-12,C1202,Base Layer,apparel,12,70.82,WEB 
ORD-51606,2025-01-12,C1221,Daypack 22L,packs,9,110.53,web
ORD-51618,2025-01-12,C1222,Hiking Sock,apparel,5,17.86,web
ORD-52092,2025-01-12,C1284,Expedition Pack 65L,packs,3,328.87, retail
ORD-52615,2025-01-12,C1354,Down Jacket,outerwear,1,321.0,web
ORD-52683,2025-01-12,C1365,Trail Runner,footwear,1,131.47,retail
ORD-52736,2025-01-12,C1373,Daypack 22L,packs,1,108.7,partner
ORD-52860,2025-01-12,C1389,Approach Shoe,footwear,10,151.76,partner
ORD-50728,2025-01-13,C1101,Approach Shoe,footwear,12,158.56,retail
ORD-51189,2025-01-13,C1157,Headlamp,hardware,5,41.3,web
ORD-51293,2025-01-13,C1175,Daypack 22L,packs,9,108.09,web
ORD-51581,2025-01-13,C1220,Base Layer,apparel,2,67.83,partner
ORD-52039,2025-01-13,C1278,Expedition Pack 65L,packs,1,330.55,web
ORD-52190,2025-01-13,C1296,Expedition Pack 65L,packs,5,332.18,web
ORD-52198,2025-01-13,C1296,Hiking Sock,apparel,15,19.0,retail
ORD-52295,2025-01-13,C1307,Trekking Poles,hardware,3,95.66, retail
ORD-52536,2025-01-13,C1345,Daypack 22L,packs,3,113.98,retail
ORD-52678,2025-01-13,C1364,Daypack 22L,packs,3,108.86,partner
ORD-52750,2025-01-13,C1376,Expedition Pack 65L,packs,11,350.26,web
ORD-52763,2025-01-13,C1377,Headlamp,hardware,1,40.42,partner
ORD-50053,2025-01-14,C1012,Headlamp,hardware,1,41.65,Retail
ORD-50257,2025-01-14,C1040,Base Layer,apparel,6,70.54,web
ORD-50484,2025-01-14,C1071,Trekking Poles,hardware,1,93.38,Web
ORD-50691,2025-01-14,C1097,Approach Shoe,footwear,9,157.56,retail
ORD-50741,2025-01-14,C1101,Base Layer,apparel,9,69.47,Partner
ORD-50891,2025-01-14,C1120,Expedition Pack 65L,packs,3,350.94,partner
ORD-52587,2025-01-14,C1352,Base Layer,apparel,3,70.64,Partner
ORD-52758,2025-01-14,C1376,Trail Runner,footwear,9,130.45,Retail
ORD-52908,2025-01-14,C1397,Expedition Pack 65L,packs,10,332.19,partner
ORD-50054,2025-01-15,C1012,Headlamp,hardware,3,42.01,retail
ORD-50196,2025-01-15,C1036,Headlamp,hardware,1,43.1, retail
ORD-51098,2025-01-15,C1147,Trail Runner,footwear,1,130.68,web
ORD-51190,2025-01-15,C1157,Base Layer,apparel,2,67.68,partner
ORD-51247,2025-01-15,C1167,Down Jacket,outerwear,6,312.07,Retail
ORD-51559,2025-01-15,C1216,Down Jacket,outerwear,3,319.61,web
ORD-51640,2025-01-15,C1225,Headlamp,hardware,3,42.13,WEB 
ORD-51659,2025-01-15,C1230,Rain Shell,outerwear,11,219.94,Web
ORD-52138,2025-01-15,C1289,Expedition Pack 65L,packs,15,350.6,Web
ORD-52276,2025-01-15,C1304,Daypack 22L,packs,3,111.15,web
ORD-52393,2025-01-15,C1323,Trekking Poles,hardware,2,93.63,web
ORD-52530,2025-01-15,C1343,Down Jacket,outerwear,7,311.84,Partner
ORD-52596,2025-01-15,C1353,Base Layer,apparel,7,73.13,Retail
ORD-52905,2025-01-15,C1397,Expedition Pack 65L,packs,9,350.55,web
ORD-50045,2025-01-16,C1010,Daypack 22L,packs,2,111.15,web
ORD-50084,2025-01-16,C1017,Trekking Poles,hardware,1,98.83,retail
ORD-50133,2025-01-16,C1023,Expedition Pack 65L,packs,1,352.58,partner
ORD-50289,2025-01-16,C1045,Headlamp,hardware,1,40.99, retail
ORD-50450,2025-01-16,C1065,Approach Shoe,footwear,10,148.26,retail
ORD-50688,2025-01-16,C1097,Base Layer,apparel,9,71.12,Retail
ORD-50776,2025-01-16,C1106,Down Jacket,outerwear,8,318.14,web
ORD-50843,2025-01-16,C1115,Daypack 22L,packs,3,115.37,web
ORD-50892,2025-01-16,C1120,Base Layer,apparel,1,70.89,retail
ORD-50939,2025-01-16,C1126,Approach Shoe,footwear,3,151.63,web
ORD-51332,2025-01-16,C1179,Trail Runner,footwear,2,122.93,retail
ORD-51505,2025-01-16,C1204,Headlamp,hardware,4,41.12,retail
ORD-52061,2025-01-16,C1282,Hiking Sock,apparel,1,19.2,web
ORD-52220,2025-01-16,C1301,Daypack 22L,packs,4,113.69,retail
ORD-52298,2025-01-16,C1307,Expedition Pack 65L,packs,3,340.94,Retail
ORD-52906,2025-01-16,C1397,Down Jacket,outerwear,12,307.23,web
ORD-50010,2025-01-17,C1005,Down Jacket,outerwear,9,322.43,retail
ORD-50381,2025-01-17,C1057,Down Jacket,outerwear,9,314.14,web
ORD-51494,2025-01-17,C1202,Down Jacket,outerwear,11,313.19,retail
ORD-51545,2025-01-17,C1213,Approach Shoe,footwear,4,159.69,web
ORD-52189,2025-01-17,C1296,Trekking Poles,hardware,13,92.88,partner
ORD-52307,2025-01-17,C1308,Rain Shell,outerwear,2,213.89,retail
ORD-52413,2025-01-17,C1324,Base Layer,apparel,8,71.06,Retail
ORD-50034,2025-01-18,C1007,Daypack 22L,packs,1,115.9,Retail
ORD-50174,2025-01-18,C1031,Down Jacket,outerwear,3,311.57,Web
ORD-50359,2025-01-18,C1057,Base Layer,apparel,10,68.33,retail
ORD-50392,2025-01-18,C1060,Daypack 22L,packs,3,111.17,web
ORD-50438,2025-01-18,C1064,Trail Runner,footwear,7,126.23,partner
ORD-50826,2025-01-18,C1113,Down Jacket,outerwear,7,314.74,retail
ORD-51309,2025-01-18,C1175,Daypack 22L,packs,10,112.48,web
ORD-51612,2025-01-18,C1222,Approach Shoe,footwear,2,148.82,partner
ORD-51627,2025-01-18,C1223,Trail Runner,footwear,6,132.66,web
ORD-51802,2025-01-18,C1251,Down Jacket,outerwear,2,316.32,partner
ORD-51846,2025-01-18,C1255,Down Jacket,outerwear,10,313.37,web
ORD-52227,2025-01-18,C1301,Hiking Sock,apparel,6,19.15,partner
ORD-52252,2025-01-18,C1303,Rain Shell,outerwear,14,219.69,retail
ORD-52568,2025-01-18,C1348,Trekking Poles,hardware,2,96.66,Retail
ORD-50432,2025-01-19,C1064,Expedition Pack 65L,packs,11,330.26,web
ORD-50553,2025-01-19,C1080,Daypack 22L,packs,1,108.54,Web
ORD-50744,2025-01-19,C1101,Rain Shell,outerwear,19,222.01,partner
ORD-50864,2025-01-19,C1117,Headlamp,hardware,7,42.72,retail
ORD-50901,2025-01-19,C1123,Approach Shoe,footwear,2,159.33, retail
ORD-52023,2025-01-19,C1274,Expedition Pack 65L,packs,8,327.52,web
ORD-52073,2025-01-19,C1284,Base Layer,apparel,11,70.06, retail
ORD-52110,2025-01-19,C1287,Rain Shell,outerwear,7,222.48,partner
ORD-52123,2025-01-19,C1289,Expedition Pack 65L,packs,11,337.99,Web
ORD-52404,2025-01-19,C1324,Trekking Poles,hardware,3,95.66,web
ORD-52642,2025-01-19,C1358,Approach Shoe,footwear,1,150.77,web
ORD-52869,2025-01-19,C1392,Trekking Poles,hardware,1,92.67,partner
ORD-50015,2025-01-20,C1005,Expedition Pack 65L,packs,8,351.71,web
ORD-50318,2025-01-20,C1052,Daypack 22L,packs,4,107.64,partner
ORD-50320,2025-01-20,C1052,Trail Runner,footwear,2,132.17,Partner
ORD-50863,2025-01-20,C1117,Expedition Pack 65L,packs,11,351.22,retail
ORD-52098,2025-01-20,C1286,Down Jacket,outerwear,3,324.95,web
ORD-52363,2025-01-20,C1318,Down Jacket,outerwear,4,322.77,retail
ORD-52437,2025-01-20,C1327,Hiking Sock,apparel,7,18.77,Web
ORD-52495,2025-01-20,C1341,Trail Runner,footwear,3,126.75,web
ORD-52691,2025-01-20,C1366,Daypack 22L,packs,3,109.76,retail
ORD-52755,2025-01-20,C1376,Trekking Poles,hardware,12,98.92,partner
ORD-50398,2025-01-21,C1061,Trail Runner,footwear,1,130.03,web
ORD-50417,2025-01-21,C1064,Down Jacket,outerwear,14,325.06,web
ORD-50574,2025-01-21,C1083,Base Layer,apparel,2,69.45,Retail
ORD-50961,2025-01-21,C1128,Base Layer,apparel,12,71.3,web
ORD-51835,2025-01-21,C1254,Expedition Pack 65L,packs,7,329.84,web
ORD-51905,2025-01-21,C1262,Trail Runner,footwear,,125.56,partner
ORD-51925,2025-01-21,C1265,Expedition Pack 65L,packs,12,332.73,web
ORD-52173,2025-01-21,C1296,Hiking Sock,apparel,8,18.72,web
ORD-52408,2025-01-21,C1324,Trekking Poles,hardware,5,95.48,retail
ORD-50048,2025-01-22,C1011,Base Layer,apparel,2,70.79,web
ORD-50137,2025-01-22,C1024,Trail Runner,footwear,5,128.29,Retail
ORD-50791,2025-01-22,C1108,Rain Shell,outerwear,4,217.19,Retail
ORD-50962,2025-01-22,C1128,Trail Runner,footwear,5,132.23,Web
ORD-51018,2025-01-22,C1137,Down Jacket,outerwear,5,328.81,retail
ORD-51185,2025-01-22,C1156,Trekking Poles,hardware,13,92.68,web
ORD-51334,2025-01-22,C1179,Daypack 22L,packs,2,114.1,retail
ORD-51704,2025-01-22,C1236,Trail Runner,footwear,2,131.07,retail
ORD-51765,2025-01-22,C1246,Rain Shell,outerwear,4,216.44,partner
ORD-52199,2025-01-22,C1297,Down Jacket,outerwear,2,315.09,retail
ORD-50002,2025-01-23,C1002,Expedition Pack 65L,packs,1,328.26,Retail
ORD-50085,2025-01-23,C1017,Approach Shoe,footwear,7,159.04,retail
ORD-50306,2025-01-23,C1049,Daypack 22L,packs,4,108.76,web
ORD-50306,2025-01-23,C1049,Daypack 22L,packs,4,108.76,web
ORD-51085,2025-01-23,C1144,Rain Shell,outerwear,1,225.84,web
ORD-51129,2025-01-23,C1151,Down Jacket,outerwear,10,318.94,retail
ORD-51184,2025-01-23,C1156,Hiking Sock,apparel,4,19.12,web
ORD-51694,2025-01-23,C1233,Headlamp,hardware,2,40.6,web
ORD-51953,2025-01-23,C1266,Rain Shell,outerwear,2,222.01,partner
ORD-52139,2025-01-23,C1289,Hiking Sock,apparel,17,18.55,web
ORD-52491,2025-01-23,C1340,Hiking Sock,apparel,2,18.4,web
ORD-52666,2025-01-23,C1361,Hiking Sock,apparel,5,19.19,retail
ORD-50001,2025-01-24,C1000,Trekking Poles,hardware,1,94.96,web
ORD-50051,2025-01-24,C1012,Expedition Pack 65L,packs,1,352.3,web
ORD-50367,2025-01-24,C1057,Expedition Pack 65L,packs,10,334.14,Web
ORD-50540,2025-01-24,C1076,Down Jacket,outerwear,11,330.25,retail
ORD-51421,2025-01-24,C1196,Headlamp,hardware,6,42.16,Partner
ORD-51972,2025-01-24,C1270,Trekking Poles,hardware,10,97.5,web
ORD-52361,2025-01-24,C1317,Base Layer,apparel,4,71.77,partner
ORD-52610,2025-01-24,C1353,Headlamp,hardware,10,41.68,partner
ORD-52614,2025-01-24,C1353,Trail Runner,footwear,7,130.5,Retail
ORD-50193,2025-01-25,C1036,Down Jacket,outerwear,3,326.49,web
ORD-50270,2025-01-25,C1042,Rain Shell,outerwear,4,226.53,retail
ORD-50581,2025-01-25,C1084,Down Jacket,outerwear,10,319.53,partner
ORD-50780,2025-01-25,C1106,Rain Shell,outerwear,6,219.41,retail
ORD-51047,2025-01-25,C1138,Daypack 22L,packs,14,109.76,retail
ORD-51338,2025-01-25,C1180,Headlamp,hardware,2,42.16,Retail
ORD-51345,2025-01-25,C1181,Trekking Poles,hardware,1,99.71,Web
ORD-51521,2025-01-25,C1207,Trail Runner,footwear,5,126.75,Retail
ORD-51762,2025-01-25,C1246,Down Jacket,outerwear,3,325.44,Web
ORD-51889,2025-01-25,C1260,Base Layer,apparel,22,71.25,Partner
ORD-51943,2025-01-25,C1265,Trail Runner,footwear,7,125.98,web
ORD-52484,2025-01-25,C1338,Hiking Sock,apparel,2,18.47,web
ORD-52593,2025-01-25,C1353,Rain Shell,outerwear,8,224.43,partner
ORD-52741,2025-01-25,C1375,Rain Shell,outerwear,4,224.92,retail
ORD-50043,2025-01-26,C1010,Down Jacket,outerwear,5,306.51,Web
ORD-50641,2025-01-26,C1090,Trail Runner,footwear,7,128.28,Retail
ORD-50947,2025-01-26,C1128,Base Layer,apparel,7,67.88,partner
ORD-50995,2025-01-26,C1133,Daypack 22L,packs,2,111.42,partner
ORD-51380,2025-01-26,C1187,Trekking Poles,hardware,3,97.27,partner
ORD-51778,2025-01-26,C1249,Headlamp,hardware,3,41.21,partner
ORD-51900,2025-01-26,C1262,Base Layer,apparel,4,70.06,web
ORD-52096,2025-01-26,C1286,Daypack 22L,packs,2,114.89,web
ORD-52784,2025-01-26,C1379,Rain Shell,outerwear,16,223.6,WEB 
ORD-52893,2025-01-26,C1397,Expedition Pack 65L,packs,7,346.01,Web
ORD-52896,2025-01-26,C1397,Hiking Sock,apparel,8,18.79,web
ORD-52902,2025-01-26,C1397,Hiking Sock,apparel,,18.29,Retail
ORD-52916,2025-01-26,C1399,Daypack 22L,packs,1,107.54,web
ORD-50064,2025-01-27,C1014,Base Layer,apparel,3,68.44,Partner
ORD-50112,2025-01-27,C1020,Trail Runner,footwear,1,127.43,Retail
ORD-50185,2025-01-27,C1035,Trail Runner,footwear,7,128.45,retail
ORD-50189,2025-01-27,C1035,Rain Shell,outerwear,3,214.42,retail
ORD-50264,2025-01-27,C1040,Down Jacket,outerwear,8,319.99,retail
ORD-50756,2025-01-27,C1102,Base Layer,apparel,7,69.82,web
ORD-51119,2025-01-27,C1151,Hiking Sock,apparel,8,17.9,Web
ORD-51207,2025-01-27,C1160,Base Layer,apparel,7,71.0,retail
ORD-51254,2025-01-27,C1167,Trail Runner,footwear,5,128.99,Partner
ORD-51329,2025-01-27,C1179,Expedition Pack 65L,packs,1,326.82,retail
ORD-51337,2025-01-27,C1180,Trekking Poles,hardware,2,99.58,WEB 
ORD-51480,2025-01-27,C1202,Daypack 22L,packs,18,112.18,Web
ORD-51920,2025-01-27,C1265,Hiking Sock,apparel,8,18.17,Retail
ORD-52102,2025-01-27,C1287,Down Jacket,outerwear,6,308.63,WEB 
ORD-52498,2025-01-27,C1341,Hiking Sock,apparel,3,18.86,retail
ORD-52514,2025-01-27,C1343,Approach Shoe,footwear,4,156.29,retail
ORD-52832,2025-01-27,C1388,Daypack 22L,packs,1,112.31,partner
ORD-50025,2025-01-28,C1005,Trail Runner,footwear,11,123.55,web
ORD-50155,2025-01-28,C1027,Base Layer,apparel,4,68.3,Web
ORD-50506,2025-01-28,C1074,Approach Shoe,footwear,1,151.29,retail
ORD-51268,2025-01-28,C1168,Rain Shell,outerwear,3,212.78,Retail
ORD-51426,2025-01-28,C1196,Trail Runner,footwear,7,126.35,retail
ORD-51865,2025-01-28,C1258,Trail Runner,footwear,3,129.67,retail
ORD-51913,2025-01-28,C1264,Trekking Poles,hardware,2,93.55,Retail
ORD-52001,2025-01-28,C1273,Headlamp,hardware,6,43.37,partner
ORD-52887,2025-01-28,C1396,Expedition Pack 65L,packs,1,351.11,retail
ORD-50006,2025-01-29,C1004,Down Jacket,outerwear,3,307.97,Web
ORD-50107,2025-01-29,C1019,Trekking Poles,hardware,12,98.78,retail
ORD-50168,2025-01-29,C1029,Headlamp,hardware,1,41.14,Partner
ORD-50771,2025-01-29,C1105,Headlamp,hardware,1,41.97,Web
ORD-50792,2025-01-29,C1108,Expedition Pack 65L,packs,3,334.73,Web
ORD-50796,2025-01-29,C1108,Down Jacket,outerwear,4,312.95,WEB 
ORD-51173,2025-01-29,C1156,Rain Shell,outerwear,8,217.59,web
ORD-51432,2025-01-29,C1197,Trekking Poles,hardware,5,98.99,retail
ORD-51469,2025-01-29,C1202,Daypack 22L,packs,12,112.09,retail
ORD-51473,2025-01-29,C1202,Headlamp,hardware,9,43.52,retail
ORD-51808,2025-01-29,C1252,Hiking Sock,apparel,3,17.81,retail
ORD-51909,2025-01-29,C1263,Hiking Sock,apparel,2,18.3, retail
ORD-52150,2025-01-29,C1292,Approach Shoe,footwear,3,152.14,Retail
ORD-52294,2025-01-29,C1306,Trail Runner,footwear,1,127.11,partner
ORD-52521,2025-01-29,C1343,Rain Shell,outerwear,12,221.41,retail
ORD-52815,2025-01-29,C1385,Daypack 22L,packs,3,108.45,web
ORD-50206,2025-01-30,C1038,Headlamp,hardware,2,42.71,Retail
ORD-50426,2025-01-30,C1064,Headlamp,hardware,2,43.0,web
ORD-51277,2025-01-30,C1170,Headlamp,hardware,7,42.33,retail
