customer_id,region,segment,signup_date
C1099,North,consumer,2024-05-21
C1100,North,consumer,2025-02-13
C1101,East,enterprise,2025-12-15
C1102,East,smb,2025-10-19
C1103,West,smb,2024-12-18
C1104,North,consumer,2024-12-02
C1105,East,consumer,2024-05-26
C1106,East,smb,2024-08-23
C1107,West,consumer,2024-04-16
C1108,East,consumer,2025-03-19
C1109,North,consumer,2025-05-14
C1110,East,smb,2024-08-31
C1111,North,consumer,2025-06-09
C1112,South,consumer,2025-07-08
C1113,East,smb,2025-04-12
C1114,South,smb,2025-05-13
C1115,East,consumer,2024-10-02
C1116,West,consumer,2025-03-10
C1117,West,enterprise,2025-01-08
C1118,North,smb,2024-03-29
C1119,East,smb,2025-01-27
C1120,West,consumer,2025-08-28
C1121,West,consumer,2025-04-16
C1122,North,consumer,2025-09-27
C1123,North,smb,2024-05-04
C1124,East,smb,2024-09-21
C1125,East,enterprise,2025-07-06
C1126,East,consumer,2024-03-17
C1127,South,consumer,2025-09-03
C1128,South,enterprise,2024-07-22
C1129,East,smb,2025-01-02
C1130,South,consumer,2024-10-18
C1131,West,consumer,2024-02-28
C1132,South,consumer,2024-03-06
C1133,East,consumer,2024-11-11
C1134,North,smb,2025-11-07
C1135,East,consumer,2024-11-27
C1136,North,consumer,2025-07-08
C1137,North,enterprise,2024-08-11
C1138,East,enterprise,2025-03-18
C1139,South,consumer,2025-02-14
C1140,North,consumer,2025-06-08
C1141,West,smb,2025-08-02
C1142,East,consumer,2024-09-10
C1143,South,consumer,2025-12-23
C1144,North,consumer,2025-08-25
C1145,North,consumer,2025-12-29
C1146,South,consumer,2025-03-03
C1147,North,consumer,2024-03-23
C1148,North,smb,2024-07-05
C1149,West,consumer,2025-06-04
C1150,North,consumer,2024-01-04
C1151,North,enterprise,2024-12-03
C1152,South,consumer,2024-08-14
C1153,West,consumer,2024-01-31
C1154,East,consumer,2024-12-26
C1155,East,consumer,2025-03-24
C1156,South,enterprise,2025-12-13
C1157,North,smb,2024-02-24
C1158,East,consumer,2024-06-16
C1159,South,consumer,2024-04-09
C1160,East,smb,2024-09-10
C1161,East,consumer,2024-03-14
C1162,North,smb,2025-12-12
C1163,North,consumer,2024-01-18
C1164,East,smb,2024-12-03
C1165,South,consumer,2025-12-08
C1166,North,consumer,2025-10-18
C1167,West,enterprise,2024-06-06
C1168,North,consumer,2024-02-01
C1169,North,consumer,2024-02-02
C1170,West,consumer,2024-01-10
C1171,South,consumer,2025-08-02
C1172,East,consumer,2024-12-15
C1173,South,consumer,2025-06-04
C1174,South,consumer,2025-08-15
C1175,West,enterprise,2024-01-24
C1176,East,smb,2025-09-27
C1177,North,consumer,2024-12-17
C1178,West,consumer,2024-10-05
C1179,East,consumer,2025-06-29
C1180,West,consumer,2024-03-11
C1181,North,consumer,2024-07-13
C1182,South,consumer,2025-03-08
C1183,South,smb,2024-02-06
C1184,South,consumer,2024-11-26
C1185,West,consumer,2024-04-20
C1186,South,consumer,2025-08-04
C1187,North,enterprise,2025-06-29
C1188,East,consumer,2025-05-03
C1189,North,consumer,2024-03-28
C1190,South,consumer,2024-04-20
C1191,West,consumer,2024-12-30
C1192,North,consumer,2024-05-02
C1193,North,consumer,2025-01-26
C1194,West,consumer,2025-06-06
C1195,North,consumer,2025-09-12
C1196,East,smb,2024-11-15
C1197,South,consumer,2024-09-19
C1198,East,consumer,2024-09-22
C1199,West,enterprise,2024-04-29
C1200,West,consumer,2025-07-01
C1201,West,consumer,2024-09-01
C1202,East,enterprise,2025-10-01
C1203,North,consumer,2025-03-31
C1204,North,smb,2025-04-04
C1205,West,consumer,2024-05-08
C1206,East,smb,2024-04-02
C1207,North,consumer,2025-01-12
C1208,West,smb,2024-05-22
C1209,South,consumer,2024-09-15
C1210,East,consumer,2024-11-06
C1211,South,smb,2024-05-30
C1212,North,consumer,2024-07-10
C1213,East,consumer,2025-03-31
C1214,North,smb,2024-03-24
C1215,West,consumer,2025-08-21
C1216,South,consumer,2025-10-08
C1217,South,consumer,2024-05-13
C1218,North,consumer,2025-03-31
C1219,West,consumer,2024-06-22
C1220,North,consumer,2025-11-04
C1221,North,enterprise,2024-05-12
C1222,North,smb,2025-07-09
C1223,East,smb,2025-04-11
C1224,North,consumer,2025-12-15
C1225,North,smb,2025-08-15
C1226,North,consumer,2024-10-22
C1227,East,smb,2025-07-26
C1228,South,consumer,2025-02-06
C1229,East,consumer,2024-05-20
C1230,East,enterprise,2025-11-11
C1231,East,consumer,2025-06-14
C1232,North,smb,2025-10-03
C1233,West,consumer,2025-05-12
C1234,South,consumer,2025-01-31
C1235,West,consumer,2025-11-19
C1236,South,consumer,2025-02-26
C1237,West,consumer,2025-03-31
C1238,West,consumer,2025-05-27
C1239,West,smb,2025-09-23
C1240,West,consumer,2024-12-16
C1241,East,consumer,2024-04-18
C1242,North,smb,2025-09-29
C1243,West,smb,2025-09-30
C1244,North,consumer,2025-06-07
C1245,North,consumer,2024-10-31
C1246,East,consumer,2024-10-26
C1247,East,consumer,2025-09-12
C1248,West,consumer,2025-09-28
C1249,East,smb,2025-07-26
C1250,South,smb,2025-04-28
C1251,North,consumer,2024-08-28
C1252,North,smb,2024-02-26
C1253,South,consumer,2025-06-25
C1254,East,enterprise,2024-12-22
C1255,South,smb,2025-09-12
C1256,West,consumer,2025-10-26
C1257,North,consumer,2024-03-26
C1258,West,consumer,2025-03-29
C1259,South,consumer,2025-04-24
C1260,East,enterprise,2025-02-13
C1261,South,smb,2025-09-16
C1262,East,smb,2025-04-06
C1263,West,consumer,2025-05-15
C1264,West,smb,2025-11-21
C1265,North,enterprise,2025-07-04
C1266,East,consumer,2024-10-14
C1267,West,consumer,2025-12-02
C1268,West,consumer,2024-03-29
C1269,West,consumer,2025-03-04
C1270,East,enterprise,2024-01-25
C1271,West,consumer,2025-08-19
C1272,North,consumer,2025-08-11
C1273,East,smb,2024-03-10
C1274,North,enterprise,2024-08-13
C1275,North,consumer,2024-10-23
C1276,West,consumer,2024-09-19
C1277,West,consumer,2024-05-12
C1278,North,consumer,2025-11-16
C1279,South,smb,2024-08-16
C1280,West,consumer,2024-07-12
C1281,South,consumer,2025-11-16
C1282,North,consumer,2024-03-12
C1283,South,consumer,2025-02-17
C1284,South,enterprise,2025-11-01
C1285,East,consumer,2025-01-29
C1286,East,consumer,2025-12-04
C1287,North,enterprise,2024-12-17
C1288,South,consumer,2024-11-19
C1289,East,enterprise,2025-05-27
C1290,South,consumer,2025-03-31
C1291,West,consumer,2024-09-24
C1292,North,consumer,2025-01-23
C1293,North,consumer,2025-06-20
C1294,East,consumer,2024-06-09
C1295,East,smb,2024-07-15
C1296,East,enterprise,2025-06-16
C1297,West,consumer,2024-01-29
C1298,West,smb,2025-04-08
C1299,South,consumer,2025-02-27
C1300,North,consumer,2024-04-28
C1301,North,enterprise,2024-06-27
C1302,East,consumer,2025-09-01
C1303,West,enterprise,2024-03-13
C1304,South,consumer,2025-10-14
C1305,West,smb,2024-04-06
C1306,West,consumer,2024-03-26
C1307,North,smb,2024-01-03
C1308,South,consumer,2024-01-15
C1309,West,smb,2024-06-26
C1310,South,consumer,2025-09-25
C1311,North,consumer,2024-04-24
C1312,North,smb,2025-05-10
C1313,East,consumer,2025-04-21
C1314,South,consumer,2024-11-23
C1315,West,consumer,2025-08-25
C1316,East,consumer,2024-11-03
C1317,West,smb,2025-09-05
C1318,East,smb,2025-02-09
C1319,East,consumer,2024-01-09
C1320,South,consumer,2024-07-06
C1321,South,consumer,2025-08-21
C1322,South,consumer,2024-08-20
C1323,West,consumer,2024-02-28
C1324,South,enterprise,2025-09-11
C1325,East,consumer,2025-03-10
C1326,West,smb,2024-10-05
C1327,South,enterprise,2024-02-13
C1328,North,consumer,2024-09-06
C1329,South,consumer,2024-10-03
C1330,West,consumer,2024-04-10
C1331,East,consumer,2024-10-21
C1332,North,consumer,2025-09-26
C1333,East,consumer,2024-09-10
C1334,North,consumer,2024-04-26
C1335,South,consumer,2024-12-24
C1336,South,consumer,2024-09-21
C1337,South,smb,2024-11-05
C1338,West,consumer,2025-11-14
C1339,North,consumer,2024-11-04
C1340,East,consumer,2024-11-18
C1341,South,smb,2025-01-16
C1342,South,consumer,2024-02-07
C1343,South,enterprise,2024-11-14
C1344,South,consumer,2025-02-06
C1345,North,smb,2025-11-20
C1346,South,consumer,2024-08-08
C1347,East,consumer,2025-11-25
C1348,East,smb,2024-02-23
C1349,West,consumer,2025-08-16
C1350,East,consumer,2024-09-29
C1351,East,smb,2025-06-08
C1352,North,consumer,2025-06-25
C1353,South,enterprise,2025-04-25
C1354,West,consumer,2024-09-14
C1355,West,consumer,2025-06-28
C1356,West,consumer,2024-06-20
C1357,East,smb,2025-01-15
C1358,East,consumer,2024-01-16
C1359,East,smb,2024-11-09
C1360,West,smb,2024-05-31
C1361,West,smb,2025-06-15
C1362,South,consumer,2025-08-17
C1363,East,consumer,2025-03-08
C1364,North,consumer,2024-04-25
C1365,West,smb,2024-08-03
C1366,North,smb,2025-01-30
C1367,East,consumer,2025-11-06
C1368,South,consumer,2025-01-06
C1369,South,consumer,2025-11-10
C1370,West,smb,2024-02-18
C1371,East,smb,2024-02-01
C1372,East,consumer,2024-11-22
C1373,West,consumer,2025-07-02
C1374,South,consumer,2025-01-31
C1375,South,consumer,2025-02-23
C1376,North,enterprise,2024-12-23
C1377,East,consumer,2025-09-16
C1378,West,consumer,2025-01-01
C1379,East,enterprise,2025-11-05
C1380,East,consumer,2024-05-24
C1381,South,consumer,2024-07-16
C1382,South,consumer,2025-03-23
C1383,North,consumer,2025-11-20
C1384,South,consumer,2025-09-09
C1385,West,smb,2025-11-15
C1386,North,consumer,2025-01-21
C1387,East,consumer,2025-11-24
C1388,East,smb,2024-07-29
C1389,South,enterprise,2025-12-03
C1390,West,consumer,2025-11-18
C1391,West,consumer,2025-10-09
C1392,East,smb,2024-06-18
C1393,East,consumer,2024-04-14
C1394,North,consumer,2025-11-18
C1395,North,consumer,2024-10-20
C1396,South,consumer,2025-09-14
C1397,North,enterprise,2025-03-27
C1398,South,consumer,2025-03-27
C1399,West,smb,2024-09-19
